day,date,week,phase,platform_primary,platform_adaptations,format,content_pillar,objective,funnel_stage,topic,narrative_angle,hook,on_screen_text,visual_concept,caption,cta,hashtags,dimensions,duration,assets_required,visual_prompt,motion_prompt,master_file,export_file,destination_folder,status,approval,publication_time,notes
11,2026-08-06,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),Menú QR vs. StreetBoss,Comparativa clara de capacidades (transacción vs. solo ver).,Menú QR muestra. StreetBoss vende.,Muestra vs. Vende,[T08-data] Muestra vs. Vende,"Menú QR muestra. StreetBoss vende.

Comparativa clara de capacidades (transacción vs. solo ver).

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Menú QR vs. StreetBoss. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-11_menu-qr-vs-streetboss_data.png,06-posts/month-01/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
12,2026-08-07,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),El queso que se estira,Macro del cheese pull. Deseo físico. CTA suave a pedir.,Ese momento en que el queso se estira y no puedes ver otra cosa,El hambre entra por los ojos,[T06-foodporn] El hambre entra por los ojos,"Ese momento en que el queso se estira y no puedes ver otra cosa

Así se ve tu menú antes de que lleguen. Tu pizza con queso derretido merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: pizza con queso derretido. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de pizarra oscura. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-12_el-queso-que-se-estira_foodporn.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
13,2026-08-08,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Vende directo. Manda tú.,Reforzar el eslogan principal con estética premium.,Vende directo. Manda tú.,Eslogan B2B,[T10-culture] Eslogan B2B,"Vende directo. Manda tú.

Reforzar el eslogan principal con estética premium.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Vende directo. Manda tú.. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-13_vende-directo-manda-tu_culture.png,06-posts/month-01/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
14,2026-08-09,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),¿Ustedes reparten? No.,"Objeción FAQ: no somos delivery, somos tu tecnología.",No repartimos tu comida. Tú controlas la entrega.,Tú controlas la entrega,[T13-founder-price] Tú controlas la entrega,"No repartimos tu comida. Tú controlas la entrega.

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre ¿Ustedes reparten? No.. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-14_ustedes-reparten-no_commercial.png,06-posts/month-01/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
15,2026-08-10,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),El 30% que regalas,La comisión de intermediarios se come tu ganancia en tus clientes que YA te conocen.,Cada pedido en la app… y el 30% se va a otro bolsillo,¿Y tu margen?,[T01-pain] ¿Y tu margen?,"Cada pedido en la app… y el 30% se va a otro bolsillo

La comisión de intermediarios se come tu ganancia en tus clientes que YA te conocen.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: El 30% que regalas. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-15_el-30-que-regalas_pain.png,07-reels/month-01/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
16,2026-08-11,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Anatomía de un pedido perfecto,Descomponer el ticket estructurado y por qué reduce errores.,Cómo se ve un pedido que la cocina entiende a la primera,Orden = crecimiento,[T07-carousel-edu] Orden = crecimiento,"Cómo se ve un pedido que la cocina entiende a la primera

Guárdalo para tu negocio de comida.

Descomponer el ticket estructurado y por qué reduce errores.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Anatomía de un pedido perfecto. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-16_anatomia-de-un-pedido-perfecto_carousel.png,06-posts/month-01/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
17,2026-08-12,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),"Tu menú, hipervisual","Regla 80/20: la foto manda, la interfaz solo acompaña.",Tu menú ya no es texto: es una vitrina que da hambre,"80% comida, 20% interfaz","[T05-product] 80% comida, 20% interfaz","Tu menú ya no es texto: es una vitrina que da hambre

Regla 80/20: la foto manda, la interfaz solo acompaña.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Tu menú, hipervisual. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-17_tu-menu-hipervisual_product.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
18,2026-08-13,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),< 15 minutos para publicar,Dato de producto: onboarding rápido.,Tu menú publicado en menos de 15 minutos,Time-to-value,[T08-data] Time-to-value,"Tu menú publicado en menos de 15 minutos

Dato de producto: onboarding rápido.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre < 15 minutos para publicar. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-18_15-minutos-para-publicar_data.png,06-posts/month-01/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
19,2026-08-14,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Hamburguesa jugosa a 45°,"Plano 45°, jugo cayendo, pan brillante.","La mordida perfecta, la salsa cayendo",Así se ve el antojo,[T06-foodporn] Así se ve el antojo,"La mordida perfecta, la salsa cayendo

Así se ve tu menú antes de que lleguen. Tu hamburguesa con queso y salsa merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: hamburguesa con queso y salsa. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de metal oxidado oscuro. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-19_hamburguesa-jugosa-a-45_foodporn.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
20,2026-08-15,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),"Tu restaurante, tus reglas",Mensaje nuclear #1 en pieza de marca.,Tu restaurante merece vender bajo sus propias reglas,Tus reglas,[T10-culture] Tus reglas,"Tu restaurante merece vender bajo sus propias reglas

Mensaje nuclear #1 en pieza de marca.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Tu restaurante, tus reglas. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-20_tu-restaurante-tus-reglas_culture.png,06-posts/month-01/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
21,2026-08-16,3,Fase 1: Posicionamiento · Problema · Educación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),¿App para descargar? No hace falta,"Objeción FAQ: sin apps, abre desde link/QR.",Tu cliente pide sin bajar ninguna app,Abre y pide,[T13-founder-price] Abre y pide,"Tu cliente pide sin bajar ninguna app

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre ¿App para descargar? No hace falta. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-21_app-para-descargar-no-hace-falta_commercial.png,06-posts/month-01/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
22,2026-08-17,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),Errores en cocina por mala comunicación,"Pedidos por audio/nota = errores, reposiciones, clientes molestos.",“Dijo sin cebolla”… salió con cebolla,El pedido mal entendido cuesta,[T01-pain] El pedido mal entendido cuesta,"“Dijo sin cebolla”… salió con cebolla

Pedidos por audio/nota = errores, reposiciones, clientes molestos.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: Errores en cocina por mala comunicación. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-22_errores-en-cocina-por-mala-comunicacion_pain.png,07-reels/month-01/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
23,2026-08-18,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),5 fotos que venden más comida,"Tips de luz, ángulo 45°, fondo oscuro, cercanía.",La guía rápida para fotografiar tu comida con el celular,El hambre entra por los ojos,[T07-carousel-edu] El hambre entra por los ojos,"La guía rápida para fotografiar tu comida con el celular

Guárdalo para tu negocio de comida.

Tips de luz, ángulo 45°, fondo oscuro, cercanía.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre 5 fotos que venden más comida. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-23_5-fotos-que-venden-mas-comida_carousel.png,06-posts/month-01/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
24,2026-08-19,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Publica tu menú en 15 minutos,"Onboarding real: cargar categoría, foto, precio, listo.",Publicaste tu escaparate en menos de 15 minutos,Time-to-value < 15 min,[T05-product] Time-to-value < 15 min,"Publicaste tu escaparate en menos de 15 minutos

Onboarding real: cargar categoría, foto, precio, listo.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Publica tu menú en 15 minutos. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-24_publica-tu-menu-en-15-minutos_product.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
25,2026-08-20,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),El 30% que te quedas,Contraste 30% intermediario vs. 0% StreetBoss.,"Con tu link directo, el 100% de la ganancia es tuya","Tu margen, tuyo","[T08-data] Tu margen, tuyo","Con tu link directo, el 100% de la ganancia es tuya

Contraste 30% intermediario vs. 0% StreetBoss.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre El 30% que te quedas. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-25_el-30-que-te-quedas_data.png,06-posts/month-01/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
26,2026-08-21,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Mariscos frescos brillando,"Frescura, color, brillo de cítrico.",Limón exprimido sobre el marisco fresco,Directo del mar a tu pantalla,[T06-foodporn] Directo del mar a tu pantalla,"Limón exprimido sobre el marisco fresco

Así se ve tu menú antes de que lleguen. Tu tostada de camarón merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: tostada de camarón. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de hielo y pizarra. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-26_mariscos-frescos-brillando_foodporn.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
